Waypoint X,Waypoint Y
8.11371,-2.4235
8.50424,-2.28943
8.86737,-2.09292
9.1932,-1.83931
9.47285,-1.53553
9.69868,-1.18987
9.86454,-0.811749
9.9659,-0.411486
10,-3.06E-16
10,0
10,1.0101
10,2.0202
10,3.0303
10,4.0404
10,5.05051
10,6.06061
10,7.07071
10,8.08081
10,9.09091
10,10.101
10,11.1111
10,12.1212
10,13.1313
10,14.1414
10,15.1515
10,16.1616
10,17.1717
10,18.1818
10,19.1919
10,20.202
10,21.2121
10,22.2222
10,23.2323
10,24.2424
10,25.2525
10,26.2626
10,27.2727
10,28.2828
10,29.2929
10,30.303
10,31.3131
10,32.3232
10,33.3333
10,34.3434
10,35.3535
10,36.3636
10,37.3737
10,38.3838
10,39.3939
10,40.404
10,41.4141
10,42.4242
10,43.4343
10,44.4444
10,45.4545
10,46.4646
10,47.4747
10,48.4848
10,49.4949
10,50.5051
10,51.5152
10,52.5253
10,53.5354
10,54.5455
10,55.5556
10,56.5657
10,57.5758
10,58.5859
10,59.596
10,60.6061
10,61.6162
10,62.6263
10,63.6364
10,64.6465
10,65.6566
10,66.6667
10,67.6768
10,68.6869
10,69.697
10,70.7071
10,71.7172
10,72.7273
10,73.7374
10,74.7475
10,75.7576
10,76.7677
10,77.7778
10,78.7879
10,79.798
10,80.8081
10,81.8182
10,82.8283
10,83.8384
10,84.8485
10,85.8586
10,86.8687
10,87.8788
10,88.8889
10,89.899
10,90.9091
10,91.9192
10,92.9293
10,93.9394
10,94.9495
10,95.9596
10,96.9697
10,97.9798
10,98.9899
10,100
10,100
10.0341,100.411
10.1355,100.812
10.3013,101.19
10.5271,101.536
10.8068,101.839
11.1326,102.093
11.4958,102.289
11.8863,102.424
12.2936,102.491
12.7064,102.491
13.1137,102.424
13.5042,102.289
13.8674,102.093
14.1932,101.839
14.4729,101.536
14.6987,101.19
14.8645,100.812
14.9659,100.411
15,100
15,100
15,98.9899
15,97.9798
15,96.9697
15,95.9596
15,94.9495
15,93.9394
15,92.9293
15,91.9192
15,90.9091
15,89.899
15,88.8889
15,87.8788
15,86.8687
15,85.8586
15,84.8485
15,83.8384
15,82.8283
15,81.8182
15,80.8081
15,79.798
15,78.7879
15,77.7778
15,76.7677
15,75.7576
15,74.7475
15,73.7374
15,72.7273
15,71.7172
15,70.7071
15,69.697
15,68.6869
15,67.6768
15,66.6667
15,65.6566
15,64.6465
15,63.6364
15,62.6263
15,61.6162
15,60.6061
15,59.596
15,58.5859
15,57.5758
15,56.5657
15,55.5556
15,54.5455
15,53.5354
15,52.5253
15,51.5152
15,50.5051
15,49.4949
15,48.4848
15,47.4747
15,46.4646
15,45.4545
15,44.4444
15,43.4343
15,42.4242
15,41.4141
15,40.404
15,39.3939
15,38.3838
15,37.3737
15,36.3636
15,35.3535
15,34.3434
15,33.3333
15,32.3232
15,31.3131
15,30.303
15,29.2929
15,28.2828
